"Drug","Model","DataType","Pearson","Spearman"
"Sorafenib","ElasticNet","Train",0.739080746937388,0.567354776065056
"Sorafenib","ElasticNet","Valid",0.497400091307175,0.203860148129452
"Sorafenib","Ridge","Train",0.697670621964468,0.564007339554343
"Sorafenib","Ridge","Valid",0.495290668574985,0.264448353561925
"Sorafenib","Lasso","Train",0.738109013544545,0.565270913803074
"Sorafenib","Lasso","Valid",0.497285062254977,0.197633048903089
"Erlotinib","ElasticNet","Train",0.630990834291222,0.572629168383965
"Erlotinib","ElasticNet","Valid",0.473349566743995,0.484072059551898
"Erlotinib","Ridge","Train",0.606479869554069,0.563839812205925
"Erlotinib","Ridge","Valid",0.506655150508565,0.509751044829427
"Erlotinib","Lasso","Train",0.6312393807422,0.572353230808827
"Erlotinib","Lasso","Valid",0.471873922498435,0.483015190748311
"Topotecan","ElasticNet","Train",0.756519235252884,0.734064395639431
"Topotecan","ElasticNet","Valid",0.645198918638942,0.631867032832055
"Topotecan","Ridge","Train",0.76069059678503,0.740233570291146
"Topotecan","Ridge","Valid",0.639111670844304,0.631641579873555
"Topotecan","Lasso","Train",0.757455513421787,0.734923465592999
"Topotecan","Lasso","Valid",0.644925789514034,0.632116797307739
"Paclitaxel","ElasticNet","Train",0.635871313692804,0.595653129956489
"Paclitaxel","ElasticNet","Valid",0.447720655060565,0.483453942090037
"Paclitaxel","Ridge","Train",0.619124162710703,0.574122818263777
"Paclitaxel","Ridge","Valid",0.450884218587797,0.49096213922438
"Paclitaxel","Lasso","Train",0.634962183194231,0.595772344623824
"Paclitaxel","Lasso","Valid",0.449860350333427,0.485536345671353
"Lapatinib","ElasticNet","Train",0.706664517608857,0.556580386960027
"Lapatinib","ElasticNet","Valid",0.616633611448127,0.457523736219771
"Lapatinib","Ridge","Train",0.703991597361697,0.556098410912686
"Lapatinib","Ridge","Valid",0.624925369381755,0.462648466753359
"Lapatinib","Lasso","Train",0.707289147057505,0.557438807236034
"Lapatinib","Lasso","Valid",0.615625744075681,0.456414226263752
"Selumetinib","ElasticNet","Train",0.721930173996345,0.686874531216255
"Selumetinib","ElasticNet","Valid",0.574020944696144,0.533839399043783
"Selumetinib","Ridge","Train",0.707035877686826,0.680881049082839
"Selumetinib","Ridge","Valid",0.574175349753815,0.532235078915055
"Selumetinib","Lasso","Train",0.722075693101921,0.686095097006262
"Selumetinib","Lasso","Valid",0.573909069099984,0.533846689458695
